 Coordinates: 1, -1, 4 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 6, 5, -8 | Type: BARRIER, Rotation: NONE
 Coordinates: -2, 8, -8 | Type: BARRIER, Rotation: NONE
 Coordinates: 1, -1, -2 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 1, -1, -8 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: -2, 8, -1 | Type: BARRIER, Rotation: NONE
 Coordinates: 3, 3, 8 | Type: BARRIER, Rotation: NONE
 Coordinates: 1, 1, 8 | Type: BARRIER, Rotation: NONE
 Coordinates: -6, 5, 8 | Type: BARRIER, Rotation: NONE
 Coordinates: -8, 0, -7 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 1, 8, -6 | Type: BARRIER, Rotation: NONE
 Coordinates: -8, 0, -6 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 1, 8, -7 | Type: BARRIER, Rotation: NONE
 Coordinates: -8, 0, -5 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: -7, 5, -8 | Type: BARRIER, Rotation: NONE
 Coordinates: 1, 8, -8 | Type: BARRIER, Rotation: NONE
 Coordinates: -8, 0, -4 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: -8, 0, -3 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: -8, 7, 3 | Type: BARRIER, Rotation: NONE
 Coordinates: -8, 0, -2 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: -8, 7, 2 | Type: BARRIER, Rotation: NONE
 Coordinates: -8, 0, -1 | Type: SMOOTH_QUARTZ_SLAB, Rotation: NONE_BOTTOM
 Coordinates: -8, 7, 1 | Type: BARRIER, Rotation: NONE
 Coordinates: -8, 7, 0 | Type: BARRIER, Rotation: NONE
 Coordinates: -8, 7, 7 | Type: BARRIER, Rotation: NONE
 Coordinates: -8, 7, 6 | Type: BARRIER, Rotation: NONE
 Coordinates: -8, 7, 5 | Type: BARRIER, Rotation: NONE
 Coordinates: -8, 7, 4 | Type: BARRIER, Rotation: NONE
 Coordinates: 4, 3, 8 | Type: BARRIER, Rotation: NONE
 Coordinates: -8, 7, 8 | Type: BARRIER, Rotation: NONE
 Coordinates: -2, 7, 8 | Type: BARRIER, Rotation: NONE
 Coordinates: 1, 8, -1 | Type: BARRIER, Rotation: NONE
 Coordinates: 1, 8, -2 | Type: BARRIER, Rotation: NONE
 Coordinates: 1, 8, -3 | Type: BARRIER, Rotation: NONE
 Coordinates: 1, 8, -4 | Type: BARRIER, Rotation: NONE
 Coordinates: -8, 0, -8 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 1, 8, -5 | Type: BARRIER, Rotation: NONE
 Coordinates: -5, 3, -8 | Type: BARRIER, Rotation: NONE
 Coordinates: 4, 1, 8 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 2, 3, 8 | Type: BARRIER, Rotation: NONE
 Coordinates: -7, 7, 8 | Type: BARRIER, Rotation: NONE
 Coordinates: 7, 1, 7 | Type: GOLD_BLOCK, Rotation: NONE
 Coordinates: 7, 1, 6 | Type: GOLD_BLOCK, Rotation: NONE
 Coordinates: 7, 1, 8 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 7, 1, 5 | Type: RAW_GOLD_BLOCK, Rotation: NONE
 Coordinates: -4, 7, 8 | Type: BARRIER, Rotation: NONE
 Coordinates: 5, 1, 7 | Type: NETHER_GOLD_ORE, Rotation: NONE
 Coordinates: 5, 1, 8 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 0, 3, 8 | Type: BARRIER, Rotation: NONE
 Coordinates: 6, 6, -8 | Type: BARRIER, Rotation: NONE
 Coordinates: -7, 6, -8 | Type: BARRIER, Rotation: NONE
 Coordinates: -2, 7, -8 | Type: BARRIER, Rotation: NONE
 Coordinates: 6, 1, 8 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 6, 1, 7 | Type: GOLD_BLOCK, Rotation: NONE
 Coordinates: 6, 1, 6 | Type: DEEPSLATE_GOLD_ORE, Rotation: NONE
 Coordinates: 4, 3, -8 | Type: BARRIER, Rotation: NONE
 Coordinates: 1, 7, -8 | Type: BARRIER, Rotation: NONE
 Coordinates: -5, -1, -1 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: -5, -1, -2 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: -5, 7, 8 | Type: BARRIER, Rotation: NONE
 Coordinates: -5, -1, -3 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: -5, -1, -4 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: -5, -1, -5 | Type: DIAMOND_BLOCK, Rotation: NONE
 Coordinates: -5, -1, -6 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: -5, -1, -7 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: -5, -1, -8 | Type: SMOOTH_QUARTZ, Rotation: NONE
